env_step,buffer_size,mean_reward,done_rate,critic_loss,actor_loss,alpha,q_mean,wm_state_loss,wm_reward_loss,wm_done_loss,steps_per_second
320,320,-0.01132883783429861,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.16407498616133
640,640,-0.012191854417324066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.33659488248683
960,960,-0.013693982735276222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.405798282682568
1280,1280,-0.01300974190235138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.789666403641515
1600,1600,0.013493053615093231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.507088294069437
1920,1920,0.09475870430469513,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.32532568764799
2240,2240,0.4769204556941986,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.704669086523076
2560,2560,0.45535361766815186,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.56248092016874
2880,2880,0.46833422780036926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.098191275181534
3200,3200,0.10281626880168915,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.463295456777175
3520,3520,0.3642842173576355,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.23734445969653
3840,3840,0.16412115097045898,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.37675255111742
4160,4160,0.19686366617679596,0.0,36.15386199951172,-4.285283088684082,0.9982010722160339,0.159184992313385,0.0009159010951407254,1.3343806266784668,0.642430305480957,42.936087510749964
4480,4480,0.24191711843013763,0.0,2.8686234951019287,-8.751117706298828,0.9922157526016235,4.4874267578125,0.0008482889388687909,1.2149360179901123,0.029154926538467407,43.60771500107682
4800,4800,0.34895390272140503,0.0,3.690955638885498,-8.82359504699707,0.9862260818481445,4.331782341003418,0.0008329112897627056,1.4869492053985596,0.0006423280574381351,44.699933541375685
5120,5120,0.5084349513053894,0.0,1.9362138509750366,-10.399664878845215,0.980194628238678,5.620704650878906,0.0007614559144712985,0.880364716053009,0.0006659964565187693,45.42812334532582
5440,5440,0.27907806634902954,0.0,3.631394147872925,-11.110424041748047,0.974118709564209,6.1549530029296875,0.0007312694215215743,1.7311722040176392,0.0008893355261534452,45.43414001572089
5760,5760,0.31764328479766846,0.0,2.421481132507324,-11.80998706817627,0.968051552772522,6.818689823150635,0.000687283230945468,1.1743229627609253,0.0010043196380138397,45.25680776827935
6080,6080,0.16567257046699524,0.0,4.697058200836182,-12.528096199035645,0.9620351791381836,7.554594039916992,0.000689697393681854,2.316542148590088,0.0010227160528302193,45.056673836233884
6400,6400,0.19036123156547546,0.0,2.8515005111694336,-13.158917427062988,0.9560801386833191,8.197035789489746,0.0006862033624202013,1.3593063354492188,0.0009523930493742228,45.845995977970595
6720,6720,0.21460631489753723,0.0,2.759458065032959,-13.774055480957031,0.9501843452453613,8.83851432800293,0.0006230527069419622,1.3558473587036133,0.0016982585657387972,46.241624230673786
7040,7040,0.2475264072418213,0.0,49.74876403808594,-14.46046257019043,0.944343626499176,9.545326232910156,0.0006869409698992968,25.268630981445312,0.009171819314360619,45.553893661248274
