method,gate_count,seed_count,status,success_rate,collision_rate,progress_distance_m_mean,path_length_m_mean,path_length_m_mean_n,flight_time_s_mean,mean_speed_mps_mean,mean_speed_mps_mean_n,min_clearance_m_mean,min_clearance_m_mean_n,dynamic_swept_collision_count_mean,dynamic_swept_collision_count_mean_n,moving_gate_swept_clearance_m_min_mean
heuristic,42,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.808117850676403,10,,0,2.808117850676403
ego_planner,42,10,planner_baseline,0.0,0.9,5.384359268006211,9.485000000000003,10,9.139999999999999,3.1499999999999977,10,0.2607686470351695,10,,0,0.26076864703516944
fast_planner,42,10,planner_baseline,0.0,0.9,3.7699005187158336,6.790000000000006,10,8.37,3.150000000000002,10,0.1929815257680307,10,,0,0.19298152576803074
ours_mainline,48,10,real_eval_failed,0.0,0.5,27.122563204396766,66.89692278016841,10,68.53,0.973672916438511,10,0.04020166136867246,10,0.4,10,0.007773652149006338
astar,48,10,planner_baseline,0.1,0.8,11.091419465726995,22.505000000000017,10,12.860000000000003,3.15,10,0.2767103089944042,10,,0,0.2767103089944042
theta_star,48,10,planner_baseline,0.0,0.9,6.640292420167361,17.11500000000001,10,11.320000000000002,3.1499999999999986,10,0.2561881449520166,10,,0,0.2561881449520166
rrt_star,48,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.799796232097351,10,,0,2.799796232097351
informed_rrt_star,48,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.799796232097351,10,,0,2.799796232097351
heuristic,48,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.799796232097351,10,,0,2.799796232097351
ego_planner,48,10,planner_baseline,0.0,0.9,4.165616487173601,8.050000000000004,10,8.73,3.149999999999999,10,0.22826499754444182,10,,0,0.22826499754444182
fast_planner,48,10,planner_baseline,0.0,0.9,4.198136692675283,7.035,10,8.44,3.1500000000000004,10,0.19688905977542612,10,,0,0.1968890597754261
ours_mainline,54,10,real_eval_failed,0.0,0.9,7.766315732572087,30.346203070472978,10,30.18,1.1174981347808108,10,0.05398208145854401,10,0.9,10,-0.0664882769379264
astar,54,10,planner_baseline,0.0,0.8,1.6522143768904023,8.715000000000003,10,15.35,2.8000000000000007,10,0.3859741237750982,10,,0,0.38597412377509815
theta_star,54,10,planner_baseline,0.0,0.8,5.979463817786338,13.790000000000017,10,16.800000000000004,2.8000000000000003,10,0.32554489902240347,10,,0,0.32554489902240347
rrt_star,54,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.4047119368661374,10,,0,2.404711936866138
informed_rrt_star,54,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.4047119368661374,10,,0,2.404711936866138
heuristic,54,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.4047119368661374,10,,0,2.404711936866138
ego_planner,54,10,planner_baseline,0.0,1.0,5.740138368267197,12.635000000000002,10,3.6100000000000003,3.5,10,-0.07029896416287815,10,,0,-0.07029896416287815
fast_planner,54,10,planner_baseline,0.0,1.0,3.224581503501148,9.379999999999999,10,2.68,3.5,10,-0.10266463844204979,10,,0,-0.10266463844204979
ours_mainline,60,10,real_eval_failed,0.0,0.6,13.584708985077299,46.80464445635025,10,50.160000000000004,0.9709367672935825,10,0.04929739006318481,10,0.5,10,-0.005334260078025394
astar,60,10,planner_baseline,0.0,0.7,1.491310517200374,7.805000000000002,10,21.52,2.4500000000000006,10,0.6104956185268793,10,,0,0.6104956185268794
theta_star,60,10,planner_baseline,0.0,0.7,6.885616911107832,13.370000000000015,10,23.110000000000003,2.45,10,0.5151094305076843,10,,0,0.5151094305076843
rrt_star,60,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.3966669992403733,10,,0,2.396666999240373
informed_rrt_star,60,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.3966669992403733,10,,0,2.396666999240373
heuristic,60,10,planner_baseline,0.0,0.0,0.0,0.0,10,64.29999999999998,0.0,10,2.3966669992403733,10,,0,2.396666999240373
ego_planner,60,10,planner_baseline,0.0,0.9,6.216935392930547,13.230000000000002,10,10.21,3.1499999999999986,10,0.17930917446099753,10,,0,0.17930917446099753
fast_planner,60,10,planner_baseline,0.0,1.0,3.2425636904278745,8.784999999999998,10,2.51,3.4999999999999987,10,-0.09278821415150332,10,,0,-0.09278821415150332
