candidate,selection_score,episodes,yellow_win_rate,blue_win_rate,draw_rate,mean_elapsed_s,mean_yellow_score,mean_blue_score,mean_yellow_alive,mean_blue_alive,mean_yellow_kills,mean_blue_kills,mean_yellow_base_hp,mean_blue_base_hp,mean_robot_contacts,mean_obstacle_contacts,mean_yellow_base_damage,mean_blue_base_damage,mean_yellow_shielded_base_shots,mean_blue_shielded_base_shots,mean_yellow_base_open_rate,mean_blue_base_open_rate,mean_final_zone_state,p95_robot_contacts,p95_obstacle_contacts
0,17.714285714285715,56,0.48214285714285715,0.3392857142857143,0.17857142857142858,27.178571428571427,73.40142857142857,72.65285714285713,10.0,10.0,0.0,0.0,0.48571428571428665,0.3357142857142864,0.0,0.0,13.867857142857142,13.691071428571428,0.0,0.0,0.40631940737636546,0.40645252948335564,"[-0.9999, 0.0016, 1.0]",0.0,0.0
1,18.857142857142858,56,0.39285714285714285,0.32142857142857145,0.2857142857142857,24.85,72.71285714285713,71.67107142857142,10.0,10.0,0.0,0.0,0.5303571428571433,0.321428571428572,0.0,0.0,14.00535714285714,13.749999999999998,0.0,0.0,0.3682206797298019,0.3685041804385267,"[-1.0, 0.0033, 1.0]",0.0,0.0
2,17.714285714285715,56,0.35714285714285715,0.5,0.14285714285714285,24.732142857142858,71.91892857142857,72.31642857142857,10.0,10.0,0.0,0.0,0.38928571428571473,0.4696428571428576,0.0,0.0,13.710714285714285,13.867857142857142,0.0,0.0,0.3646539630906539,0.3642254103949886,"[-1.0, -0.0027, 1.0]",0.0,0.0
3,19.42857142857143,56,0.39285714285714285,0.42857142857142855,0.17857142857142858,24.803571428571427,72.26714285714284,72.01857142857143,10.0,10.0,0.0,0.0,0.45714285714285763,0.40714285714285786,0.0,0.0,13.966071428571427,13.848214285714286,0.0,0.0,0.36721360352604,0.3673496209420658,"[-1.0, 0.0052, 1.0]",0.0,0.0
4,18.857142857142858,56,0.44642857142857145,0.375,0.17857142857142858,24.79642857142857,72.14857142857143,71.63607142857143,10.0,10.0,0.0,0.0,0.5339285714285722,0.428571428571429,0.0,0.0,13.80892857142857,13.730357142857141,0.0,0.0,0.3661692871043409,0.36759568196166575,"[-1.0, 0.0045, 1.0]",0.0,0.0
5,18.857142857142858,56,0.48214285714285715,0.4107142857142857,0.10714285714285714,24.77857142857143,71.66035714285714,71.42107142857142,10.0,10.0,0.0,0.0,0.5732142857142863,0.5267857142857146,0.0,0.0,13.749999999999998,13.671428571428569,0.0,0.0,0.36671558297330964,0.36600127897213924,"[-1.0, 0.0031, 1.0]",0.0,0.0
6,18.285714285714285,56,0.4642857142857143,0.35714285714285715,0.17857142857142858,24.803571428571427,72.74642857142855,71.8225,10.0,10.0,0.0,0.0,0.4946428571428578,0.310714285714286,0.0,0.0,14.005357142857141,13.75,0.0,0.0,0.3669233181969765,0.3664970143421012,"[-1.0, -0.0002, 1.0]",0.0,0.0
7,19.714285714285715,56,0.4107142857142857,0.39285714285714285,0.19642857142857142,24.84642857142857,71.86892857142857,71.73107142857143,10.0,10.0,0.0,0.0,0.5160714285714294,0.4910714285714293,0.0,0.0,13.789285714285713,13.710714285714285,0.0,0.0,0.36870938886095456,0.3674292712258894,"[-1.0, 0.0028, 1.0]",0.0,0.0
8,18.0,56,0.32142857142857145,0.44642857142857145,0.23214285714285715,24.775000000000002,71.44178571428571,72.36,10.0,10.0,0.0,0.0,0.38571428571428623,0.5696428571428577,0.0,0.0,13.75,13.867857142857142,0.0,0.0,0.36633014740823466,0.36618498567189045,"[-1.0, -0.0038, 1.0]",0.0,0.0
9,19.42857142857143,56,0.375,0.4107142857142857,0.21428571428571427,24.796428571428574,71.82071428571427,72.25535714285714,10.0,10.0,0.0,0.0,0.4089285714285719,0.49642857142857216,0.0,0.0,13.789285714285711,14.005357142857141,0.0,0.0,0.3673178606130455,0.3670298600347767,"[-1.0, -0.0007, 1.0]",0.0,0.0
10,19.142857142857142,56,0.39285714285714285,0.44642857142857145,0.16071428571428573,24.83571428571429,72.0375,72.49285714285713,10.0,10.0,0.0,0.0,0.36428571428571477,0.4553571428571434,0.0,0.0,13.828571428571427,13.926785714285712,0.0,0.0,0.36788067318198125,0.367882959042562,"[-1.0, -0.0017, 1.0]",0.0,0.0
11,19.42857142857143,56,0.35714285714285715,0.39285714285714285,0.25,24.82857142857143,71.75785714285713,72.365,10.0,10.0,0.0,0.0,0.3892857142857148,0.5107142857142863,0.0,0.0,13.769642857142856,13.926785714285714,0.0,0.0,0.36767503957276254,0.36768062132534357,"[-1.0, 0.0021, 1.0]",0.0,0.0
12,19.42857142857143,56,0.375,0.4107142857142857,0.21428571428571427,24.767857142857142,71.77821428571428,71.67714285714284,10.0,10.0,0.0,0.0,0.521428571428572,0.5017857142857147,0.0,0.0,13.75,13.749999999999998,0.0,0.0,0.3661587687308166,0.36586851886573635,"[-1.0, -0.0014, 1.0]",0.0,0.0
