generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
0,16,96,146.84124317121652,146.84124317121652,82.2332987775359,0.51376,0.6,0.2,0.2,24.939999999999998,0.0,0.0,10.0,10.0
1,16,192,146.84124317121652,135.06896673552498,55.25123255451235,0.50759488,0.5,0.1,0.4,25.0,0.0,0.0,10.0,10.0
2,16,288,146.84124317121652,143.2568475815523,22.878809972005204,0.50150374144,0.3,0.6,0.1,24.9,0.0,0.0,10.0,10.0
3,16,384,146.84124317121652,141.30153685426419,60.541985882792844,0.49548569654271996,0.2,0.4,0.4,24.940000000000005,0.0,0.0,10.0,10.0
4,16,480,146.84124317121652,144.00227084114485,47.82420956737036,0.4895398681842073,0.4,0.3,0.3,24.900000000000002,0.0,0.0,10.0,10.0
5,16,576,147.79543783068783,147.79543783068783,52.979939038833244,0.4836653897659968,0.2,0.4,0.4,24.820000000000004,0.0,0.0,10.0,10.0
6,16,672,147.79543783068783,144.06064600258298,52.59894683763774,0.47786140508880487,0.6,0.3,0.1,24.800000000000004,0.0,0.0,10.0,10.0
7,16,768,147.79543783068783,146.93510716102347,47.700139042033115,0.4721270682277392,0.2,0.6,0.2,24.880000000000003,0.0,0.0,10.0,10.0
8,16,864,147.79543783068783,144.04498009434502,64.1528105397067,0.4664615434090063,0.3,0.6,0.1,24.84,0.0,0.0,10.0,10.0
9,16,960,147.79543783068783,140.57715081181712,67.92150920299633,0.4608640048880982,0.4,0.5,0.1,24.84,0.0,0.0,10.0,10.0
10,16,1056,147.79543783068783,124.2346752469572,26.221277624610988,0.455333636829441,0.2,0.4,0.4,24.98,0.0,0.0,10.0,10.0
11,16,1152,147.79543783068783,138.68043650793652,32.4362167949042,0.4498696331874877,0.7,0.2,0.1,24.78,0.0,0.0,10.0,10.0
12,16,1248,147.79543783068783,132.38115811013617,32.46141895062171,0.4444711975892378,0.2,0.6,0.2,24.84,0.0,0.0,10.0,10.0
13,16,1344,147.79543783068783,141.21997851310252,42.892265675771526,0.43913754321816695,0.2,0.6,0.2,24.839999999999996,0.0,0.0,10.0,10.0
14,16,1440,147.79543783068783,136.7213611473013,23.929463527050146,0.43386789269954895,0.5,0.3,0.2,24.9,0.0,0.0,10.0,10.0
15,16,1536,147.79543783068783,144.97030789901262,45.755932680404015,0.42866147798715437,0.1,0.7,0.2,24.9,0.0,0.0,10.0,10.0
16,16,1632,147.79543783068783,144.91291060761222,62.87461480424845,0.4235175402513085,0.5,0.3,0.2,24.939999999999998,0.0,0.0,10.0,10.0
17,16,1728,147.79543783068783,137.75385198135197,33.71120204672876,0.4184353297682928,0.5,0.4,0.1,24.919999999999998,0.0,0.0,10.0,10.0
18,16,1824,147.79543783068783,146.695646002583,41.225482647803176,0.41341410581107324,0.2,0.7,0.1,24.84,0.0,0.0,10.0,10.0
19,16,1920,147.79543783068783,141.22870562382658,59.29111157913778,0.40845313654134036,0.4,0.4,0.2,24.880000000000003,0.0,0.0,10.0,10.0
20,16,2016,147.79543783068783,117.4599380330667,23.933633999777044,0.40355169890284426,0.4,0.5,0.1,24.779999999999998,0.0,0.0,10.0,10.0
21,16,2112,147.79543783068783,139.47348330736463,31.344837838121336,0.3987090785160101,0.4,0.4,0.2,24.860000000000003,0.0,0.0,10.0,10.0
22,16,2208,147.79543783068783,110.25350290399382,42.54312558941052,0.393924569573818,0.4,0.4,0.2,24.84,0.0,0.0,10.0,10.0
23,16,2304,147.79543783068783,84.08630173552913,33.50126221836547,0.3891974747389322,0.5,0.3,0.2,24.78,0.0,0.0,10.0,10.0
24,16,2400,147.79543783068783,121.1324931466566,26.675336520007264,0.384527105042065,0.4,0.6,0.0,24.779999999999998,0.0,0.0,10.0,10.0
25,16,2496,147.79543783068783,86.8238921317631,16.02316829057369,0.37991277978156024,0.3,0.5,0.2,24.94,0.0,0.0,10.0,10.0
26,16,2592,147.79543783068783,134.94828686018994,35.230773244878705,0.3753538264241815,0.2,0.6,0.2,24.860000000000003,0.0,0.0,10.0,10.0
27,16,2688,147.79543783068783,140.3845873708616,27.85101225639839,0.3708495805070913,0.2,0.7,0.1,24.780000000000005,0.0,0.0,10.0,10.0
28,16,2784,147.79543783068783,85.23673015873017,27.43860910427899,0.3663993855410062,0.4,0.5,0.1,24.820000000000004,0.0,0.0,10.0,10.0
29,16,2880,147.79543783068783,93.64732897326918,26.958231520766446,0.36200259291451414,0.3,0.4,0.3,24.82,0.0,0.0,10.0,10.0
30,16,2976,148.46489213176312,148.46489213176312,30.07130513349731,0.35765856179954,0.4,0.2,0.4,24.78,0.0,0.0,10.0,10.0
31,16,3072,148.46489213176312,86.91034511008705,28.78162209682214,0.3533666590579455,0.3,0.3,0.4,24.860000000000003,0.0,0.0,10.0,10.0
32,16,3168,148.46489213176312,141.40717382710883,38.33698955239344,0.34912625914925016,0.2,0.5,0.3,24.74,0.0,0.0,10.0,10.0
33,16,3264,148.46489213176312,56.6547934093473,14.512149274345948,0.3449367440394592,0.8,0.2,0.0,24.7,0.0,0.0,10.0,10.0
34,16,3360,148.46489213176312,88.1069745656793,28.6859387719609,0.34079750311098567,0.6,0.3,0.1,24.860000000000003,0.0,0.0,10.0,10.0
35,16,3456,148.46489213176312,80.0897069892473,24.32897985371276,0.3367079330736538,0.6,0.2,0.2,24.800000000000004,0.0,0.0,10.0,10.0
36,16,3552,148.46489213176312,91.0636789433579,33.74271089249461,0.33266743787676994,0.5,0.5,0.0,24.78,0.0,0.0,10.0,10.0
37,16,3648,148.46489213176312,105.24898924731184,43.785885062677934,0.3286754286222487,0.5,0.2,0.3,24.76,0.0,0.0,10.0,10.0
38,16,3744,148.46489213176312,102.49393445980543,33.851569965938225,0.3247313234787817,0.3,0.3,0.4,24.880000000000003,0.0,0.0,10.0,10.0
39,16,3840,148.46489213176312,91.74703344071237,22.131870266405706,0.32083454759703633,0.3,0.6,0.1,24.82,0.0,0.0,10.0,10.0
40,16,3936,148.46489213176312,71.05992170165557,6.563758415634365,0.3169845330258719,0.4,0.2,0.4,24.740000000000002,0.0,0.0,10.0,10.0
41,16,4032,148.46489213176312,96.93578494623655,20.49818573119279,0.3131807186295614,0.5,0.2,0.3,24.800000000000004,0.0,0.0,10.0,10.0
42,16,4128,148.46489213176312,87.66574193548388,22.703824445337766,0.3094225500060067,0.4,0.6,0.0,24.820000000000004,0.0,0.0,10.0,10.0
43,16,4224,148.46489213176312,79.62612698412698,20.36171078846293,0.3057094794059346,0.4,0.4,0.2,24.7,0.0,0.0,10.0,10.0
44,16,4320,148.46489213176312,88.5836421317631,19.641299442420383,0.30204096565306343,0.5,0.3,0.2,24.82,0.0,0.0,10.0,10.0
