candidate,selection_score,episodes,yellow_win_rate,blue_win_rate,draw_rate,mean_elapsed_s,mean_yellow_score,mean_blue_score,mean_yellow_alive,mean_blue_alive,mean_yellow_kills,mean_blue_kills,mean_yellow_base_hp,mean_blue_base_hp,mean_robot_contacts,mean_obstacle_contacts,mean_yellow_base_damage,mean_blue_base_damage,mean_yellow_shielded_base_shots,mean_blue_shielded_base_shots,mean_yellow_base_open_rate,mean_blue_base_open_rate,mean_final_zone_state,p95_robot_contacts,p95_obstacle_contacts
0,19.11111111111111,72,0.4305555555555556,0.4861111111111111,0.08333333333333333,25.102777777777774,223.85736111111115,225.49680555555557,47.513888888888886,47.541666666666664,2.4583333333333335,2.486111111111111,1.4805555555555507,1.801388888888882,0.0,0.0,43.64861111111112,43.80138888888891,4.486111111111111,4.402777777777778,0.22878759619367026,0.22890122066270052,"[-1.0, 0.0081, 1.0]",0.0,0.0
1,18.444444444444443,72,0.4722222222222222,0.375,0.1527777777777778,23.063888888888886,228.04277777777781,226.3638888888889,48.75,48.72222222222222,1.2777777777777777,1.25,0.8944444444444422,0.5652777777777752,0.0,0.0,44.993055555555564,44.550000000000004,7.472222222222222,7.430555555555555,0.18301759608992643,0.1831362867445991,"[-1.0, 0.0007, 1.0]",0.0,0.0
2,19.11111111111111,72,0.3333333333333333,0.2777777777777778,0.3888888888888889,22.97222222222222,227.5526388888889,227.87319444444444,48.958333333333336,48.90277777777778,1.0972222222222223,1.0416666666666667,0.5361111111111087,0.6138888888888867,0.0,0.0,44.993055555555564,44.88611111111112,7.944444444444445,7.847222222222222,0.17979409511768335,0.17979409511768335,"[-1.0, -0.0031, 1.0]",0.0,0.0
3,19.11111111111111,72,0.375,0.4305555555555556,0.19444444444444445,23.069444444444443,226.58416666666668,226.92319444444445,48.638888888888886,48.763888888888886,1.2361111111111112,1.3611111111111112,0.80972222222222,0.8472222222222193,0.0,0.0,44.45833333333334,44.64166666666668,7.402777777777778,7.625,0.183454920434418,0.18321750353033442,"[-1.0, 0.0021, 1.0]",0.0,0.0
4,18.0,72,0.375,0.5,0.125,23.072222222222223,226.7952777777778,227.32541666666668,48.75,48.68055555555556,1.3194444444444444,1.25,0.7027777777777757,0.8249999999999965,0.0,0.0,44.611111111111114,44.74861111111112,7.638888888888889,7.430555555555555,0.18307187655749602,0.18354875706311216,"[-1.0, -0.0003, 1.0]",0.0,0.0
5,19.555555555555557,72,0.3611111111111111,0.3888888888888889,0.25,23.069444444444443,227.76486111111112,227.48069444444445,48.736111111111114,48.708333333333336,1.2916666666666667,1.2638888888888888,0.674999999999998,0.6249999999999979,0.0,0.0,44.993055555555564,44.82500000000001,7.375,7.472222222222222,0.18344317115429443,0.18344317115429443,"[-1.0, -0.0015, 1.0]",0.0,0.0
6,16.666666666666668,72,0.3055555555555556,0.5138888888888888,0.18055555555555555,23.083333333333332,226.75458333333336,228.28111111111113,48.708333333333336,48.77777777777778,1.2222222222222223,1.2916666666666667,0.5222222222222205,0.811111111111108,0.0,0.0,44.51944444444445,45.06944444444444,7.541666666666667,7.666666666666667,0.18382061187644624,0.1834634631715964,"[-1.0, -0.0032, 1.0]",0.0,0.0
7,19.333333333333332,72,0.4166666666666667,0.375,0.20833333333333334,23.066666666666666,226.93625,226.90208333333334,48.736111111111114,48.708333333333336,1.2916666666666667,1.2638888888888888,0.7902777777777753,0.790277777777775,0.0,0.0,44.70277777777778,44.718055555555566,7.375,7.375,0.1832395322993774,0.1832395322993774,"[-1.0, 0.0011, 1.0]",0.0,0.0
8,19.77777777777778,72,0.375,0.3888888888888889,0.2361111111111111,23.083333333333332,227.98416666666668,227.99222222222227,48.77777777777778,48.72222222222222,1.2777777777777777,1.2222222222222223,0.5638888888888867,0.5791666666666639,0.0,0.0,44.962500000000006,44.99305555555556,7.569444444444445,7.347222222222222,0.18393936331365923,0.18393936331365923,"[-1.0, 0.0013, 1.0]",0.0,0.0
9,17.77777777777778,72,0.4722222222222222,0.3333333333333333,0.19444444444444445,23.066666666666666,227.80958333333334,227.30527777777777,48.736111111111114,48.72222222222222,1.2777777777777777,1.2638888888888888,0.7097222222222193,0.6124999999999978,0.0,0.0,44.97777777777779,44.77916666666667,7.375,7.444444444444445,0.18335089481190162,0.18323319236369068,"[-1.0, 0.0, 1.0]",0.0,0.0
10,18.88888888888889,72,0.3611111111111111,0.4305555555555556,0.20833333333333334,23.069444444444443,226.96888888888893,227.83736111111114,48.583333333333336,48.736111111111114,1.2638888888888888,1.4166666666666667,0.6402777777777755,0.7763888888888856,0.0,0.0,44.6263888888889,44.993055555555564,7.361111111111111,7.472222222222222,0.1833377737769292,0.1833377737769292,"[-1.0, 0.0007, 1.0]",0.0,0.0
11,19.333333333333332,72,0.4027777777777778,0.3611111111111111,0.2361111111111111,23.069444444444443,227.65180555555557,226.81458333333336,48.763888888888886,48.791666666666664,1.2083333333333333,1.2361111111111112,0.8013888888888862,0.6277777777777759,0.0,0.0,44.870833333333344,44.67222222222223,7.361111111111111,7.611111111111111,0.1834482419596144,0.18309109325476455,"[-1.0, -0.0003, 1.0]",0.0,0.0
12,19.11111111111111,72,0.4027777777777778,0.3472222222222222,0.25,23.080555555555556,226.99125,228.38777777777776,48.68055555555556,48.638888888888886,1.3611111111111112,1.3194444444444444,0.5069444444444423,0.7958333333333303,0.0,0.0,44.85555555555556,45.02361111111112,7.375,7.5,0.1832454469081071,0.18360361896168145,"[-1.0, -0.0013, 1.0]",0.0,0.0
