generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
0,18,72,239.7044642143143,239.7044642143143,138.92951304527253,0.51376,0.2,0.6,0.2,24.279999999999994,0.0,0.0,24.8,24.6
1,18,144,239.7044642143143,238.34953924075532,131.93953178111462,0.50759488,0.1,0.6,0.3,24.259999999999998,0.0,0.0,24.6,24.8
2,18,216,249.10114845938375,249.10114845938375,112.87205659537702,0.50150374144,0.5,0.4,0.1,23.700000000000003,0.0,0.0,24.8,24.8
3,18,288,250.43896358543418,250.43896358543418,124.36566865334584,0.49548569654271996,0.6,0.4,0.0,23.660000000000004,0.0,0.0,24.9,24.9
4,18,360,250.43896358543418,244.9912258953168,159.4470239158354,0.4895398681842073,0.2,0.3,0.5,23.78,0.0,0.0,25.0,24.9
5,18,432,250.43896358543418,243.74885554380398,154.2448863613107,0.4836653897659968,0.4,0.3,0.3,23.700000000000006,0.0,0.0,25.0,25.0
6,18,504,250.43896358543418,250.31434173669464,95.30013070118987,0.47786140508880487,0.3,0.4,0.3,23.64,0.0,0.0,25.0,25.0
7,18,576,250.43896358543418,241.93361981653618,98.32741187780753,0.4721270682277392,0.4,0.5,0.1,23.66,0.0,0.0,25.0,25.0
8,18,648,254.00178157675725,254.00178157675725,123.33284306619413,0.4664615434090063,0.5,0.2,0.3,23.64,0.0,0.0,25.0,24.9
9,18,720,254.00178157675725,247.3591466746635,133.1448305737575,0.4608640048880982,0.5,0.4,0.1,23.66,0.0,0.0,24.9,24.9
10,18,792,254.00178157675725,244.1447209050264,129.93471209001217,0.455333636829441,0.6,0.3,0.1,23.6,0.0,0.0,24.9,24.8
11,18,864,254.00178157675725,242.36702445468094,112.75286675869515,0.4498696331874877,0.5,0.3,0.2,23.700000000000003,0.0,0.0,25.0,25.0
12,18,936,254.00178157675725,236.4941319171256,117.30328255057803,0.4444711975892378,0.3,0.6,0.1,23.660000000000004,0.0,0.0,24.9,24.9
13,18,1008,254.00178157675725,237.9156884343037,78.15670000483145,0.43913754321816695,0.4,0.6,0.0,23.759999999999998,0.0,0.0,24.9,24.9
14,18,1080,254.00178157675725,235.1017800944138,82.21221204035234,0.43386789269954895,0.3,0.5,0.2,23.720000000000002,0.0,0.0,24.7,24.9
15,18,1152,254.00178157675725,248.1671637199462,126.68258770422388,0.42866147798715437,0.2,0.8,0.0,23.64,0.0,0.0,24.6,24.9
16,18,1224,256.3074375250871,256.3074375250871,127.1934585471385,0.4235175402513085,0.2,0.7,0.1,23.779999999999998,0.0,0.0,24.8,25.0
17,18,1296,256.3074375250871,249.12979859712482,104.14308791087412,0.4184353297682928,0.4,0.4,0.2,23.700000000000003,0.0,0.0,24.8,24.7
18,18,1368,256.3074375250871,202.8667150393466,93.34451950553115,0.41341410581107324,0.2,0.7,0.1,23.6,0.0,0.0,25.0,24.8
19,18,1440,256.3074375250871,255.369918951187,105.10244352312255,0.40845313654134036,0.4,0.6,0.0,23.68,0.0,0.0,24.7,24.6
20,18,1512,256.3074375250871,235.12204838709675,95.8351410056776,0.40355169890284426,0.1,0.6,0.3,23.680000000000003,0.0,0.0,24.9,24.7
21,18,1584,256.3074375250871,248.12945881658447,56.35627574783791,0.3987090785160101,0.5,0.4,0.1,23.660000000000004,0.0,0.0,24.7,25.0
