generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
0,14,112,100.98494454826458,100.98494454826458,30.90771381152331,0.51376,0.5,0.3,0.2,25.880000000000003,0.0,0.0,5.0,5.0
1,14,224,103.87597179985497,103.87597179985497,49.36905565553013,0.50759488,0.4,0.6,0.0,25.24,0.0,0.0,5.0,5.0
2,14,336,104.08211053305837,104.08211053305837,82.15832462072025,0.50150374144,0.3,0.4,0.3,25.199999999999996,0.0,0.0,5.0,5.0
3,14,448,104.08211053305837,103.7986496820109,68.78774763135029,0.49548569654271996,0.6,0.4,0.0,25.18,0.0,0.0,5.0,5.0
4,14,560,104.08211053305837,103.91646845738214,72.84860865156875,0.4895398681842073,0.6,0.1,0.3,25.119999999999997,0.0,0.0,5.0,5.0
5,14,672,104.73078920860084,104.73078920860084,80.25307072300598,0.4836653897659968,0.8,0.1,0.1,25.099999999999998,0.0,0.0,5.0,5.0
6,14,784,105.4754887987792,105.4754887987792,58.59818123043858,0.47786140508880487,0.5,0.4,0.1,24.82,0.0,0.0,5.0,5.0
7,14,896,105.50534113480825,105.50534113480825,54.98576570246039,0.4721270682277392,0.5,0.5,0.0,24.840000000000003,0.0,0.0,5.0,5.0
8,14,1008,106.24691418512202,106.24691418512202,56.95705429185613,0.4664615434090063,0.2,0.5,0.3,24.880000000000003,0.0,0.0,5.0,5.0
9,14,1120,106.24691418512202,106.20743489378444,59.36723856155034,0.4608640048880982,0.3,0.3,0.4,24.82,0.0,0.0,5.0,5.0
10,14,1232,106.82544435574586,106.82544435574586,75.99953097161415,0.455333636829441,0.5,0.4,0.1,24.800000000000004,0.0,0.0,5.0,5.0
11,14,1344,106.82544435574586,106.25616752319317,36.83157224642514,0.4498696331874877,0.4,0.3,0.3,24.840000000000003,0.0,0.0,5.0,5.0
12,14,1456,106.82544435574586,105.49329077010535,64.30510727631669,0.4444711975892378,0.3,0.7,0.0,24.740000000000002,0.0,0.0,5.0,5.0
13,14,1568,106.82544435574586,105.27155795580339,61.09148101471181,0.43913754321816695,0.2,0.7,0.1,24.740000000000002,0.0,0.0,5.0,5.0
14,14,1680,106.82544435574586,106.24588999648478,68.93619454794046,0.43386789269954895,0.5,0.3,0.2,24.8,0.0,0.0,5.0,5.0
15,14,1792,107.00942733065627,107.00942733065627,39.75902897782455,0.42866147798715437,0.3,0.4,0.3,24.82,0.0,0.0,5.0,5.0
16,14,1904,107.00942733065627,106.91836911111918,46.98235203707501,0.4235175402513085,0.4,0.5,0.1,24.720000000000002,0.0,0.0,5.0,5.0
17,14,2016,107.00942733065627,105.5360841013825,59.66254281012539,0.4184353297682928,0.3,0.5,0.2,24.740000000000002,0.0,0.0,5.0,5.0
18,14,2128,107.00942733065627,106.19249595756935,52.04249981610676,0.41341410581107324,0.5,0.5,0.0,24.720000000000002,0.0,0.0,5.0,5.0
19,14,2240,107.00942733065627,106.26225956108358,47.26409389068624,0.40845313654134036,0.4,0.4,0.2,24.779999999999998,0.0,0.0,5.0,5.0
20,14,2352,107.00942733065627,106.23387114727842,44.70601000786514,0.40355169890284426,0.6,0.1,0.3,24.9,0.0,0.0,5.0,5.0
21,14,2464,107.00942733065627,104.81311100808014,55.26188861206736,0.3987090785160101,0.5,0.2,0.3,24.800000000000004,0.0,0.0,5.0,5.0
22,14,2576,107.00942733065627,103.93413965593011,23.388647777458257,0.393924569573818,0.5,0.4,0.1,24.800000000000004,0.0,0.0,5.0,5.0
23,14,2688,107.00942733065627,105.53270645252006,35.330675412759014,0.3891974747389322,0.8,0.1,0.1,24.700000000000003,0.0,0.0,5.0,5.0
24,14,2800,107.00942733065627,90.60423770333261,26.84426992585646,0.384527105042065,0.7,0.1,0.2,24.740000000000002,0.0,0.0,5.0,5.0
25,14,2912,107.00942733065627,105.28366138179301,31.446454011226656,0.37991277978156024,0.6,0.3,0.1,24.720000000000002,0.0,0.0,5.0,5.0
26,14,3024,107.00942733065627,105.93357507175351,46.04904993226963,0.3753538264241815,0.7,0.3,0.0,24.76,0.0,0.0,5.0,5.0
27,14,3136,107.00942733065627,105.65392361111111,43.82011315456856,0.3708495805070913,0.4,0.3,0.3,24.82,0.0,0.0,5.0,5.0
28,14,3248,107.49691901012373,107.49691901012373,63.79865941083347,0.3663993855410062,0.3,0.4,0.3,24.96,0.0,0.0,5.0,5.0
29,14,3360,107.49691901012373,91.07387609844835,38.719981227922325,0.36200259291451414,0.2,0.7,0.1,24.9,0.0,0.0,5.0,5.0
30,14,3472,107.49691901012373,105.57303001741718,46.780740505899175,0.35765856179954,0.6,0.3,0.1,24.779999999999998,0.0,0.0,5.0,5.0
31,14,3584,107.49691901012373,104.90689706191257,41.84455290473159,0.3533666590579455,0.4,0.4,0.2,24.8,0.0,0.0,5.0,5.0
32,14,3696,107.49691901012373,104.90261308978714,39.96110242740805,0.34912625914925016,0.3,0.3,0.4,24.88,0.0,0.0,5.0,5.0
