candidate,selection_score,episodes,yellow_win_rate,blue_win_rate,draw_rate,mean_elapsed_s,mean_yellow_score,mean_blue_score,mean_yellow_alive,mean_blue_alive,mean_yellow_kills,mean_blue_kills,mean_yellow_base_hp,mean_blue_base_hp,mean_robot_contacts,mean_obstacle_contacts,mean_yellow_base_damage,mean_blue_base_damage,mean_yellow_shielded_base_shots,mean_blue_shielded_base_shots,mean_yellow_base_open_rate,mean_blue_base_open_rate,mean_final_zone_state,p95_robot_contacts,p95_obstacle_contacts
0,19.333333333333332,48,0.4791666666666667,0.4375,0.08333333333333333,28.754166666666663,44.135416666666664,44.62458333333333,5.0,5.0,0.0,0.0,0.17708333333333362,0.2729166666666669,0.0,0.0,8.227083333333333,8.272916666666667,0.0,0.0,0.44895148098101273,0.4498302333636217,"[-0.8345, 0.0029, 0.8359]",0.0,0.0
1,18.666666666666668,48,0.3541666666666667,0.4375,0.20833333333333334,24.875,42.525625,42.74083333333334,5.0,5.0,0.0,0.0,0.22083333333333352,0.2687500000000003,0.0,0.0,8.31875,8.3875,0.0,0.0,0.3534055589164005,0.3534029129097858,"[-0.6567, 0.0195, 0.6545]",0.0,0.0
2,14.666666666666668,48,0.2916666666666667,0.625,0.08333333333333333,24.645833333333332,41.99583333333333,43.12083333333334,5.0,5.0,0.0,0.0,0.12083333333333351,0.34583333333333366,0.0,0.0,8.020833333333334,8.479166666666666,0.0,0.0,0.3445914609059379,0.34460232132470997,"[-0.5911, -0.0053, 0.5924]",0.0,0.0
3,18.333333333333332,48,0.4166666666666667,0.5208333333333334,0.0625,24.84583333333333,42.535624999999996,42.758333333333326,5.0,5.0,0.0,0.0,0.21666666666666692,0.26458333333333367,0.0,0.0,8.181249999999999,8.31875,0.0,0.0,0.3524855215195714,0.35347768918103145,"[-0.6549, 0.0188, 0.6523]",0.0,0.0
4,17.666666666666668,48,0.4583333333333333,0.3125,0.22916666666666666,24.833333333333332,43.135416666666664,42.25375,5.0,5.0,0.0,0.0,0.3145833333333335,0.13958333333333353,0.0,0.0,8.524999999999999,8.181249999999999,0.0,0.0,0.3528356964452024,0.35217035252985845,"[-0.6523, 0.0096, 0.6567]",0.0,0.0
5,19.333333333333332,48,0.4166666666666667,0.375,0.20833333333333334,24.858333333333338,42.73083333333333,42.527499999999996,5.0,5.0,0.0,0.0,0.26250000000000023,0.22708333333333353,0.0,0.0,8.364583333333334,8.272916666666665,0.0,0.0,0.35313187889913983,0.3531279101412023,"[-0.6554, 0.0181, 0.6519]",0.0,0.0
6,17.666666666666664,48,0.375,0.5208333333333334,0.10416666666666667,24.829166666666666,42.58541666666667,43.07125,5.0,5.0,0.0,0.0,0.15208333333333343,0.24791666666666692,0.0,0.0,8.18125,8.433333333333332,0.0,0.0,0.35205885689020056,0.3527228780542217,"[-0.6554, 0.0054, 0.6567]",0.0,0.0
7,19.0,48,0.3958333333333333,0.3333333333333333,0.2708333333333333,24.825,42.73104166666667,42.54708333333334,5.0,5.0,0.0,0.0,0.25625000000000026,0.2250000000000001,0.0,0.0,8.456249999999999,8.341666666666667,0.0,0.0,0.35278831476710576,0.35245762744038717,"[-0.6554, 0.0199, 0.6528]",0.0,0.0
8,18.333333333333332,48,0.4166666666666667,0.3125,0.2708333333333333,24.858333333333334,42.687083333333334,43.189166666666665,5.0,5.0,0.0,0.0,0.12916666666666687,0.23125000000000018,0.0,0.0,8.479166666666666,8.524999999999999,0.0,0.0,0.3534691784841159,0.35263578165065557,"[-0.6488, 0.0036, 0.6528]",0.0,0.0
9,19.666666666666668,48,0.375,0.3958333333333333,0.22916666666666666,24.833333333333332,41.76833333333333,42.694583333333334,5.0,5.0,0.0,0.0,0.22708333333333353,0.42708333333333354,0.0,0.0,8.204166666666666,8.364583333333334,0.0,0.0,0.3524798558131342,0.352472022970625,"[-0.6536, 0.0631, 0.6514]",0.0,0.0
10,17.333333333333332,48,0.4791666666666667,0.3125,0.20833333333333334,24.8125,42.5775,42.556875,5.0,5.0,0.0,0.0,0.25833333333333364,0.2541666666666668,0.0,0.0,8.364583333333334,8.204166666666666,0.0,0.0,0.3521276186242848,0.3519636187949624,"[-0.6567, 0.0013, 0.6532]",0.0,0.0
11,19.0,48,0.375,0.4375,0.1875,24.833333333333332,41.96104166666667,42.60791666666666,5.0,5.0,0.0,0.0,0.24375000000000024,0.3833333333333336,0.0,0.0,8.112499999999999,8.341666666666667,0.0,0.0,0.3523303836012433,0.35217031036443025,"[-0.6519, 0.0361, 0.6554]",0.0,0.0
12,19.666666666666664,48,0.4166666666666667,0.3958333333333333,0.1875,24.925,43.2225,42.38395833333333,5.0,5.0,0.0,0.0,0.3020833333333335,0.12916666666666687,0.0,0.0,8.524999999999999,8.31875,0.0,0.0,0.355027186957813,0.35519519771050123,"[-0.6536, -0.0169, 0.6554]",0.0,0.0
